Updating platform-api-js.js: 6 ms, 1898 Mb
Compiling platform-api-js.js: 418 ms, 2121 Mb
Updating platform-client-js.js: 8 ms, 2121 Mb
Compiling platform-client-js.js: 1437 ms, 1921 Mb
Updating common-js.js: 8 ms, 1923 Mb
Compiling common-js.js: 509 ms, 1634 Mb
Updating client-api-js.js: 13 ms, 1635 Mb
Compiling client-api-js.js: 7637 ms, 1869 Mb
Updating client-js.js: 18 ms, 1870 Mb
Compiling client-js.js: 4812 ms, 1779 Mb
Updating app-state-js.js: 10 ms, 1781 Mb
Compiling app-state-js.js: 2177 ms, 1985 Mb
Updating app-web.js: 80 ms, 1989 Mb
Compiling app-web.js: 52210 ms, 1848 Mb
Updating vacations-api-js.js: 1 ms, 1850 Mb
Compiling vacations-api-js.js: 46 ms, 1859 Mb
Updating vacations-js.js: 3 ms, 1859 Mb
Compiling vacations-js.js: 1307 ms, 1783 Mb
Updating responsibilities-api-js.js: 1 ms, 1785 Mb
Compiling responsibilities-api-js.js: 44 ms, 1802 Mb
Updating responsibilities-js.js: 4 ms, 1802 Mb
Compiling responsibilities-js.js: 1706 ms, 1909 Mb
Updating internal-tools-api-js.js: 1 ms, 1911 Mb
Compiling internal-tools-api-js.js: 38 ms, 1920 Mb
Updating internal-tools-js.js: 8 ms, 1920 Mb
Compiling internal-tools-js.js: 2197 ms, 2131 Mb
Updating google-integration-api-js.js: 1 ms, 2133 Mb
Compiling google-integration-api-js.js: 61 ms, 2151 Mb
Updating google-integration-js.js: 5 ms, 2151 Mb
Compiling google-integration-js.js: 3001 ms, 1509 Mb
Updating editors-api-js.js: 2 ms, 1511 Mb
Compiling editors-api-js.js: 36 ms, 1520 Mb
Updating editors-js.js: 7 ms, 1520 Mb
Compiling editors-js.js: 1100 ms, 1475 Mb
Updating bonus-api-js.js: 1 ms, 1476 Mb
Compiling bonus-api-js.js: 417 ms, 1494 Mb
Updating bonus-js.js: 12 ms, 1494 Mb
Compiling bonus-js.js: 3992 ms, 1710 Mb
Updating all-js.js: 1 ms, 1712 Mb
Compiling all-js.js: 41 ms, 1722 Mb
Compiling all...: 112975 ms, 1722 Mb
------------ 7 ------------
Updating platform-runtime-js.js: 40 ms, 1722 Mb
Compiling platform-runtime-js.js: 5914 ms, 1632 Mb
Updating platform-web.js: 65 ms, 1635 Mb
Compiling platform-web.js: 19939 ms, 2089 Mb
Updating font-icons-runtime-js.js: 1 ms, 2092 Mb
Compiling font-icons-runtime-js.js: 169 ms, 2183 Mb
Updating platform-api-js.js: 6 ms, 2183 Mb
Compiling platform-api-js.js: 420 ms, 1777 Mb
Updating platform-client-js.js: 7 ms, 1778 Mb
Compiling platform-client-js.js: 1412 ms, 1771 Mb
Updating common-js.js: 9 ms, 1771 Mb
Compiling common-js.js: 492 ms, 1992 Mb
Updating client-api-js.js: 12 ms, 1992 Mb
Compiling client-api-js.js: 7469 ms, 2069 Mb
Updating client-js.js: 19 ms, 2071 Mb
Compiling client-js.js: 4507 ms, 2242 Mb
Updating app-state-js.js: 9 ms, 2245 Mb
Compiling app-state-js.js: 2269 ms, 1852 Mb
Updating app-web.js: 77 ms, 1857 Mb
Compiling app-web.js: 51300 ms, 1906 Mb
Updating vacations-api-js.js: 2 ms, 1908 Mb
Compiling vacations-api-js.js: 42 ms, 1918 Mb
Updating vacations-js.js: 3 ms, 1918 Mb
Compiling vacations-js.js: 1296 ms, 1799 Mb
Updating responsibilities-api-js.js: 1 ms, 1801 Mb
Compiling responsibilities-api-js.js: 47 ms, 1810 Mb
Updating responsibilities-js.js: 4 ms, 1810 Mb
Compiling responsibilities-js.js: 1719 ms, 2024 Mb
Updating internal-tools-api-js.js: 1 ms, 2027 Mb
Compiling internal-tools-api-js.js: 41 ms, 2035 Mb
Updating internal-tools-js.js: 7 ms, 2035 Mb
Compiling internal-tools-js.js: 1929 ms, 2020 Mb
Updating google-integration-api-js.js: 1 ms, 2022 Mb
Compiling google-integration-api-js.js: 64 ms, 2041 Mb
Updating google-integration-js.js: 4 ms, 2041 Mb
Compiling google-integration-js.js: 1484 ms, 1902 Mb
Updating editors-api-js.js: 1 ms, 1904 Mb
Compiling editors-api-js.js: 31 ms, 1914 Mb
Updating editors-js.js: 9 ms, 1914 Mb
Compiling editors-js.js: 973 ms, 1932 Mb
Updating bonus-api-js.js: 1 ms, 1934 Mb
Compiling bonus-api-js.js: 66 ms, 1954 Mb
Updating bonus-js.js: 8 ms, 1954 Mb
Compiling bonus-js.js: 4006 ms, 2060 Mb
Updating all-js.js: 1 ms, 2062 Mb
Compiling all-js.js: 42 ms, 2073 Mb
Compiling all...: 105944 ms, 2073 Mb
